Country Name,2011,2012,2013,2014,2015
Arab World,2.242794831,2.152383964,2.0882829380000003,2.0500004819999997,2.02999099
Caribbean small states,0.6145973579999999,0.585947157,0.557090938,0.531885155,0.5148971379999999
Central Europe and the Baltics,-0.35369194200000004,-0.22915498399999998,-0.21320183,-0.209757193,-0.17154353100000003
Early-demographic dividend,1.507963432,1.476112296,1.4573987830000001,1.4389270719999998,1.4193355090000002
East Asia & Pacific,0.6575312529999999,0.66816931,0.6707206720000001,0.6733926090000001,0.66791909
East Asia & Pacific (excluding high income),0.703515597,0.71422795,0.719968203,0.7244115520000001,0.716282669
East Asia & Pacific (IDA & IBRD countries),0.705690137,0.7165002909999999,0.72231863,0.7269114040000001,0.7188374909999999
Euro area,0.237331746,-0.23113677100000002,0.771583514,-0.040787553,0.238599562
Europe & Central Asia,0.420505401,0.250235731,0.649445744,0.346851904,0.43765081100000003
Europe & Central Asia (excluding high income),0.582890314,0.593438723,0.642403375,0.629756911,0.575570336
Europe & Central Asia (IDA & IBRD countries),0.500414961,0.533852267,0.573645503,0.5601986529999999,0.515866289
European Union,0.220924867,-0.08466538,0.5845023420000001,0.057838104,0.260379602
Fragile and conflict affected situations,2.385358384,2.35255935,2.337926102,2.342776686,2.363819395
Heavily indebted poor countries (HIPC),2.81621663,2.807148745,2.795427368,2.7806141760000003,2.763231707
High income,0.5932667189999999,0.45193774299999995,0.71603484,0.48254561700000004,0.558394907
Late-demographic dividend,0.601751045,0.612173082,0.613577342,0.612241364,0.5979262160000001
Latin America & Caribbean,1.169966442,1.146409193,1.122216836,1.093131291,1.0655643320000001
Latin America & Caribbean (excluding high income),1.194509836,1.169675698,1.143781589,1.116566323,1.08849803
Latin America & the Caribbean (IDA & IBRD countries),1.205543107,1.180185714,1.154173947,1.1274162509999999,1.100166628
Least developed countries: UN classification,2.408004208,2.413409077,2.414675555,2.40548838,2.38884757
Low & middle income,1.323834914,1.322282272,1.321782679,1.316719872,1.303585191
Low income,2.7771474780000003,2.781823609,2.776103418,2.7575930769999997,2.730351185
Lower middle income,1.5284655740000002,1.496718112,1.4820227830000001,1.471615416,1.461425464
Middle East & North Africa,2.038604813,1.972824535,1.9198371580000002,1.876511539,1.840389558
Middle East & North Africa (excluding high income),1.80144888,1.78508612,1.77835397,1.7729126869999998,1.767801432
Middle East & North Africa (IDA & IBRD countries),1.787035164,1.770190445,1.763456127,1.758094475,1.7531581930000002
Middle income,1.16855008,1.1638522629999999,1.1613945559999999,1.1552783979999999,1.141192129
North America,0.788818824,0.806843282,0.782129608,0.815674725,0.7953461690000001
OECD members,0.6477493000000001,0.514287598,0.7769170329999999,0.5652040420000001,0.626923814
